"tag_label","c"
"Manifestation","2119"
"Foule","706"
"Rue ","492"
"Personnalité Politique","396"
"Texte ","373"
"Pancartes / Banderoles","302"
"Anti-PMA","265"
"Drapeaux","196"
"Famille","184"
"Assemblée","177"
"Plans larges de hauteur/ profondeur","146"
"Kit de communication manifestation du 6 octobre 2019","145"
"Gif / réactions émotionnelles/memes","111"
"Internet / RSN ","103"
"Extrait texte de presse","96"
"Médias / journalistes","93"
"Emission média","92"
"Twitter","91"
"Liberté, égalité, paternité","87"
"Dessins de presse / caricatures ","79"
"Religion","70"
"Echarpe tricolore","66"
"Plateau média - interview politique","65"
"Personnes ","64"
"Gilets jaunes","58"
"Montparnasse","57"
"Débat loi bioéthique Assemblée","56"
"Podium","55"
"Famille (adulte(s) + enfant(s)  ) ","54"
"Ludovine de la Rochère","53"
"Film/série","49"
"Chansons","47"
"Plans","44"
"Microtrottoir","42"
"Citation / formules / phrases ","40"
"Blanche Streb ","39"
"Images d'anciennes manifestations","37"
"Selfies / photos de groupe","37"
"Pro-PMA","35"
"Animal","33"
"Bébé / enfants","31"
"Reportage média manif 6 octobre 2019","31"
"Tags ","31"
"Jean-Louis Tourraine","30"
"Senat","29"
"Bonnets Phrygiens ","28"
"Agnès Buzyn","27"
"Famille Menesson","26"
"Couples LGBT","25"
"Agnès Thill ","24"
"Divers","24"
"Familles homoparentales","24"
"Femme enceinte / Ventre","24"
"Fontaine","24"
"Illustration scientifique","23"
"Textes juridiques","23"
"Manuels / Guides / Kits communication associations anti-PMA","22"
"#MarchonsEnfants","21"
"Guerre des chiffres","21"
"BFMTV","20"
"Chiffre","20"
"En Marche ","20"
"Podium 6 octobre","20"
"Paris Dimanche 6 oct","19"
"Communiqué de presse","18"
"Julien Aubert","18"
"Nicole Belloubet","18"
"Police","18"
"Transports (cars, bus)","18"
"Amendements loi bioethique","16"
"François Xavier Bellamy","16"
"Rassemblements","16"
"Mains/pieds","15"
"Personnalité / culture LGBT","15"
"LCP","14"
"Météo / arcs-en-ciel","14"
"Sentinelle","14"
"Images fixes","13"
"Jean-Frédéric Poisson","13"
"Christiane Taubira","12"
"Christophe Castaner","12"
"Infographies","12"
"Karim Ouchikh","11"
"Xavier Breton","11"
"Affiches déchirées","10"
"Aurore Bergé ","10"
"Familles hétéroparentales","10"
"Ovule","10"
"Code-barre","9"
"Edouard Philippe","9"
"Europe 1","9"
"Homme + enfant(s)","9"
"LCI","9"
"Nicolas Bay","9"
"RT France","9"
"Vidéo propagande","9"
"Annie Genevard","8"
"Chroniques TV/Internet","8"
"Enfants baillonnés","8"
"Femme + enfant (s)","8"
"LGBT","8"
"Listes","8"
"Trois cafés gourmands","8"
" Facebook","7"
"Chanson originale ","7"
"Débat PMA plateaux","7"
"Emmanuel Macron","7"
"Reportage PMA/GPA ","7"
"Arrêtés / jurisprudence ","6"
"Coralie Dubost","6"
"Emotion","6"
"Eugénisme / dystopie (références culturelles)","6"
"Extrait livre","6"
"Gérard Larcher","6"
"Les Grandes Gueules - RMC","6"
"Pornographie Spam","6"
"Programme ","6"
"Sud Radio","6"
"Texte","6"
"A Louer","5"
"Interview Menesson","5"
"Public Senat","5"
"Quotidien","5"
"Rapport","5"
"Richard Ferrand","5"
"The Swiss","5"
"The Verve","5"
"#TousParents","4"
"Bastien Lachaud","4"
"Chevaliers","4"
"Ecran géant","4"
"Ed Sheeran","4"
"Gilbert Collard","4"
"Guillaume Larrivé","4"
"Image 1 ","4"
"Indiscernable","4"
"Interview style Brut","4"
"Libération","4"
"Marion Maréchal Le Pen","4"
"Masques","4"
"Montage épique","4"
"Reportage INA","4"
"Christian Estrosi","3"
"Cour de cassation","3"
"Daniele Obono","3"
"Debunking","3"
"Dessin d'enfant","3"
"Extrêmistes","3"
"France Info","3"
"France TV","3"
"Frigide Barjot","3"
"Geoffroy Didier","3"
"Interview","3"
"Jean-Luc Mélenchon","3"
"Lettres","3"
"Marlène Schiappa","3"
"Messages personnels (SMS, Whatsapp)","3"
"Médias de droite","3"
"Publicité SOS Homophobie","3"
"Sens Commun","3"
"Stanislas Guerini","3"
"The XX","3"
"Vidéos En Marche","3"
"Vincent Thiébaut","3"
"CNews","2"
"Christine Boutin","2"
"Déclaration ","2"
"Détournement ","2"
"Eric Woerth","2"
"Figaro Live","2"
"Figures anti-PMA","2"
"Gilles Legendre","2"
"Google","2"
"Groupe de musique","2"
"Gérald Darmanin","2"
"Jean Messiha","2"
"Joachim Son Forget","2"
"KTO","2"
"L'Express","2"
"Musique électro","2"
"Nadine Morano","2"
"Stromae","2"
"Vidéo humoristique","2"
"Vie domestique","2"
"AJL","1"
"Alec Benjamin","1"
"Benjamin Griveaux","1"
"Boomerang ","1"
"Boulevard Voltaire","1"
"Bruno Retailleau","1"
"C a vous - France 5","1"
"Celine Dion","1"
"Clémentine Autain","1"
"Dorothée","1"
"France Gall","1"
"Jean Lasalle","1"
"Jean Louis Debré","1"
"Jean Yves Le Drian","1"
"Julien Odoul","1"
"La Marseillaise","1"
"Marine Le Pen","1"
"Maxime Minot","1"
"Nathalie Loiseau","1"
"RTL","1"
"Renaud Camus","1"
"Reportage AFP","1"
"Sputnik","1"
"TVLibertés ","1"
"U2","1"
"Vidéo texte","1"
"Vincent Peillon","1"
"Xavier Bertrand","1"